name,value
old_obligatory_credit_demand,70
new_obligatory_credit_demand,92
new_to_old_obligatory_demand_ratio,1.3142857142857143
old_optional_credit_demand,24
new_optional_credit_demand,12
new_to_old_optional_demand_ratio,0.5
old_total_credit_demand,94
new_total_credit_demand,104
new_to_old_demand_ratio,1.1063829787234043
