cartao,ingresso,codigo,titulo,situacao
12345678,2025/1,INF05508,LÓGICA PARA COMPUTAÇÃO,Aprovado
12345678,2024/2,INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,Aprovado
12345678,2024/2,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,Aprovado
12345678,2024/2,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,Aprovado
12345678,2024/2,MAT01375,MATEMÁTICA DISCRETA B,Aprovado
