cv,carater,etapa,codigo,nome,carga_horaria,creditos,prerequisito
velho,Eletiva,8,ENG04041,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO III,30,2,OBRIGA100
velho,Eletiva,8,INF05024,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,30,2,OBRIGA100
velho,Adicional,9,ADM01134,ADMINISTRAÇÃO E FINANÇAS,60,4,OBRIGA100
velho,Eletiva,9,INF01205,CAD PARA SISTEMAS DIGITAIS,60,4,INF01120; INF01175
velho,Eletiva,9,INF01005,COMUNICAÇÃO DE DADOS,60,4,INF01154
velho,Eletiva,9,ENG10051,DINÂMICA E CONTROLE DE ROBÔS,60,4,ENG10004; ENG10026
velho,Eletiva,9,ENG04457,INSTRUMENTAÇÃO A,60,4,ENG04077; MAT02219
velho,Eletiva,9,ENG10052,LABORATÓRIO DE ROBÓTICA,30,2,ENG10026
velho,Eletiva,9,ENG04476,MICROPROCESSADORES II,75,5,ENG10032
velho,Eletiva,9,INF01034,ROBÓTICA II,60,4,ENG04077; INF01120; MAT01168
velho,Eletiva,9,INF01045,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,60,4,INF01154
velho,Eletiva,9,ENG10019,SISTEMAS DE CONTROLE DIGITAIS,60,4,ENG10004
velho,Eletiva,9,ENG10018,SISTEMAS DE CONTROLE II,60,4,ENG10004
velho,Adicional,9,HUM04020,SOCIEDADE DA INFORMAÇÃO,60,4,OBRIGA100
velho,Eletiva,9,ENG04034,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO II,60,4,OBRIGA100
velho,Eletiva,9,INF01053,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,30,2,OBRIGA100
velho,Eletiva,9,INF05025,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,30,2,OBRIGA100
velho,Eletiva,10,ENG04063,DISPOSITIVOS SEMICONDUTORES,60,4,ENG04010; INF01185
velho,Eletiva,10,INF01032,EMPREENDIMENTO EM INFORMÁTICA,60,4,OBRIGA100
velho,Adicional,10,INF01213,FOTOGRAFIA COMPUTACIONAL,60,4,INF01046
velho,Eletiva,10,INF01145,FUNDAMENTOS DE BANCO DE DADOS,60,4,INF01124
velho,Eletiva,10,INF01015,GERÊNCIA E APLICAÇÕES EM REDES,60,4,INF01154
velho,Eletiva,10,EDU03071,LÍNGUA BRASILEIRA DE SINAIS (LIBRAS),30,2,OBRIGA140
velho,Eletiva,10,ENG04434,PRINCÍPIOS DE COMUNICAÇÃO,60,4,ENG04010; ENG04077; ENG0017
velho,Eletiva,10,ENG04477,PROCESSAMENTO DIGITAL DE SINAIS,60,4,ENG10017; ENG10032
velho,Eletiva,10,INF01059,SISTEMAS EMBARCADOS,60,4,INF01058; INF01142
velho,Eletiva,10,ENG04057,TESTE DE SISTEMAS ELETRÔNICOS,60,4,INF01113; INF01185
velho,Adicional,10,INF05026,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VII,60,4,OBRIGA100
velho,Eletiva,,INF01030,FUNDAMENTOS DE VISÃO COMPUTACIONAL,60,4,INF01046
velho,Eletiva,,INF01216,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,60,4,INF01127
velho,Eletiva,,ENG10055,SISTEMAS DE TEMPO REAL - I,60,4,INF01113
velho,Eletiva,,INF05009,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,60,4,OBRIGA100
velho,Eletiva,,INF01054,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,60,4,OBRIGA100
velho,Eletiva,,INF01055,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,60,4,OBRIGA100
velho,Eletiva,,INF01063,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,60,4,OBRIGA100
velho,Eletiva,,INF05013,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,60,4,OBRIGA100
velho,Eletiva,,ENG10057,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IX,60,4,NA
velho,Eletiva,,ENG10056,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VIII,30,2,NA
velho,Eletiva,,ENG10058,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO X,90,6,NA
velho,Eletiva,,ENG04038,ELETRÔNICA III,90,6,ENG04078; ENG10017
velho,Eletiva,,ENG04065,PROJETO DE SISTEMAS ANALÓGICOS E MISTOS INTEGRADOS,60,4,ENG04078; ENG04055; INF01185
velho,Eletiva,,ENG04064,PROJETO DE SISTEMAS DE RF INTEGRADOS,60,4,ENG04078; ENG04010; ENG04055
velho,Eletiva,,ENG10054,ROBÓTICA MÓVEL,60,4,ENG10017; INF01120; MAT02219
novo,Obrigatória,1,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,90,6,NA
novo,Obrigatória,1,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,90,6,NA
novo,Obrigatória,1,FIS01181,FÍSICA I-C,90,6,NA
novo,Obrigatória,1,ECP99002,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,30,2,NA
novo,Obrigatória,1,INF05508,LÓGICA PARA COMPUTAÇÃO,60,4,NA
novo,Obrigatória,2,MAT01355,ÁLGEBRA LINEAR I - A,60,4,MAT01353
novo,Obrigatória,2,Arq,Arquitetura de Computadores,60,4,INF01202; ECP99002
novo,Obrigatória,2,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,90,6,MAT01353
novo,Obrigatória,2,INF01203,Estruturas de Dados,60,4,INF01202
novo,Obrigatória,2,FIS01182,FÍSICA GERAL - ELETROMAGNETISMO,90,6,FIS01181; MAT01353
novo,Obrigatória,2,MAT01375,MATEMÁTICA DISCRETA B,60,4,NA
novo,Obrigatória,3,INF01120,Desenvolvimento de Software,60,4,INF01203
novo,Obrigatória,3,MAT01167,EQUAÇÕES DIFERENCIAIS II,90,6,MAT01354; MAT01355
novo,Obrigatória,3,FIS01183,FÍSICA III-C,90,6,FIS01182
novo,Obrigatória,3,CDNovo,Projeto de Circuitos Digitais,90,6,Arq
novo,Obrigatória,3,PAA1,Projeto e Análise de Algoritmos I,60,4,MAT01353; INF01203; MAT01375
novo,Obrigatória,4,ENG10001,CIRCUITOS ELÉTRICOS I - C,60,4,FIS01182; MAT01167
novo,Obrigatória,4,MAT01168,MATEMÁTICA APLICADA II,90,6,MAT01167
novo,Obrigatória,4,MAT02219,PROBABILIDADE E ESTATÍSTICA,60,4,MAT01353
novo,Obrigatória,4,TeoCompECP,Teoria da Computação,60,4,INF05508; MAT01375
novo,Obrigatória,4,INF01113,Organização de Computadores,60,4,CDNovo
novo,Eletiva,5,INF01146,AVALIAÇÃO DE DESEMPENHO,60,4,MAT02219
novo,Obrigatória,5,ENG10002,CIRCUITOS ELÉTRICOS II - C,60,4,ENG10001; MAT01168
novo,Obrigatória,5,INF01127,ENGENHARIA DE SOFTWARE N,60,4,INF01120
novo,Eletiva,5,INF01049,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,30,2,OBRIGA80
novo,Obrigatória,5,INF01175,SISTEMAS DIGITAIS PARA COMPUTADORES A,60,4,CDNovo
novo,Obrigatória,5,INF01142,SISTEMAS OPERACIONAIS I N,60,4,Arq; INF01203
novo,Obrigatória,5,ENG04010,TEORIA ELETROMAGNÉTICA E ONDAS,60,4,FIS01183; MAT01168
novo,Obrigatória,6,INF01185,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,60,4,ENG10001; CDNovo
novo,Obrigatória,6,ENG04077,CIRCUITOS ELETRÔNICOS I,90,6,ENG10002
novo,Eletiva,6,INF01048,INTELIGÊNCIA ARTIFICIAL,60,4,PAA1; MAT02219
novo,Obrigatória,6,ENG10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,30,2,ENG10002
novo,Obrigatória,6,Redes,Redes de Computadores e Internet,60,4,Arq
novo,Obrigatória,6,LabInternet,Laboratório de Redes de Computadores,30,2,Arq
novo,Eletiva,6,ENG10017,SISTEMAS E SINAIS,90,6,MAT01168
novo,Obrigatória,7,SDTF,Sistemas Distribuídos e Tolerantes a Falhas,60,4,INF01142
novo,Eletiva,7,INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,60,4,INF01113
novo,Eletiva,7,MAT01169,CÁLCULO NUMÉRICO,90,6,INF01203; MAT01167
novo,Eletiva,7,ENG04078,CIRCUITOS ELETRÔNICOS II,60,4,ENG10002; ENG04077
novo,Eletiva,7,LP1,Compiladores I,60,4,INF01203; TeoCompECP
novo,Obrigatória,7,INF01194,CONCEPÇÃO DE CIRCUITOS INTEGRADOS II,60,4,INF01175; INF01185
novo,Eletiva,7,INF01001,ESPECIFICAÇÃO FORMAL N,60,4,INF05501
novo,Eletiva,7,INF01047,Computação Gráfica e Visualização I,60,4,MAT01354; MAT01355; INF01203
novo,Eletiva,7,ENG10032,MICROCONTROLADORES,30,2,ENG04077; Arq
novo,Eletiva,7,ENG10004,SISTEMAS DE CONTROLE I - B,60,4,ENG10017
novo,Eletiva,8,LP2,Compiladores II,60,4,Arq; LP1
novo,Eletiva,8,INF01008,Programação Paralela,60,4,INF01142
novo,Eletiva,8,INF01017,Aprendizado de Máquina,60,4,MAT01355; MAT01354; INF01203; MAT02219
novo,Eletiva,8,ENG04061,CIRCUITOS ELETRÔNICOS INTEGRADOS,60,4,ENG04010; ENG04078
novo,Eletiva,8,ENG04055,CIRCUITOS INTEGRADOS ANALÓGICOS,60,4,INF01185
novo,Adicional,8,ECO02254,ECONOMIA A,60,4,OBRIGA100
novo,Eletiva,8,INF01046,Processamento de Imagens e Visão Computacional I,60,4,MAT01355; MAT01354; INF01203
novo,Eletiva,8,ENG10005,LABORATÓRIO DE CONTROLE,30,2,ENG10004
novo,Eletiva,8,INF01002,Serviços Avançados em Redes de Computadores,60,4,INF01154
novo,Eletiva,8,ENG10026,ROBÓTICA A,60,4,ENG10017; ENG10032
novo,Eletiva,8,INF01050,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,60,4,OBRIGA100
novo,Eletiva,8,ENG04041,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO III,30,2,OBRIGA100
novo,Eletiva,8,INF05024,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,30,2,OBRIGA100
novo,Adicional,9,ADM01134,ADMINISTRAÇÃO E FINANÇAS,60,4,OBRIGA100
novo,Eletiva,9,INF01205,CAD para Sistemas Digitais,60,4,INF01203; INF01175
novo,Eletiva,9,INF01005,Comunicação de Dados e Tecnologias de Redes Emergentes,60,4,INF01154
novo,Eletiva,9,ENG10051,DINÂMICA E CONTROLE DE ROBÔS,60,4,ENG10004; ENG10026
novo,Eletiva,9,ENG04457,INSTRUMENTAÇÃO A,60,4,ENG04077; MAT02219
novo,Eletiva,9,ENG10052,LABORATÓRIO DE ROBÓTICA,30,2,ENG10026
novo,Eletiva,9,ENG04476,MICROPROCESSADORES II,75,5,ENG10032
novo,Eletiva,9,INF01034,Robótica Móvel Inteligente,60,4,PAA1; MAT02219; INF01120
novo,Eletiva,9,INF01045,Cibersegurança,60,4,MAT01375; MAT02219
novo,Eletiva,9,ENG10019,SISTEMAS DE CONTROLE DIGITAIS,60,4,ENG10004
novo,Eletiva,9,ENG10018,SISTEMAS DE CONTROLE II,60,4,ENG10004
novo,Adicional,9,HUM04020,SOCIEDADE DA INFORMAÇÃO,60,4,OBRIGA100
novo,Eletiva,9,ENG04034,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO II,60,4,OBRIGA100
novo,Eletiva,9,INF01053,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,30,2,OBRIGA100
novo,Eletiva,9,INF05025,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,30,2,OBRIGA100
novo,Eletiva,10,ENG04063,DISPOSITIVOS SEMICONDUTORES,60,4,ENG04010; INF01185
novo,Eletiva,10,INF01032,EMPREENDIMENTO EM INFORMÁTICA,60,4,OBRIGA100
novo,Adicional,10,INF01213,FOTOGRAFIA COMPUTACIONAL,60,4,INF01046
novo,Eletiva,10,INF01145,Bancos de Dados,60,4,INF01203
novo,Eletiva,10,EDU03071,LÍNGUA BRASILEIRA DE SINAIS (LIBRAS),30,2,NA
novo,Eletiva,10,ENG04434,PRINCÍPIOS DE COMUNICAÇÃO,60,4,ENG04010; ENG04077; ENG0017
novo,Eletiva,10,ENG04477,PROCESSAMENTO DIGITAL DE SINAIS,60,4,ENG10017; ENG10032
novo,Eletiva,10,INF01059,Sistemas Embarcados: Fundamentos e Arquiteturas,60,4,CDNovo; INF01142
novo,Eletiva,10,ENG04057,TESTE DE SISTEMAS ELETRÔNICOS,60,4,INF01113; INF01185
novo,Adicional,10,INF05026,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VII,60,4,OBRIGA100
novo,Eletiva,,PAA2,Projeto e Análise de Algoritmos II,60,4,PAA1
novo,Eletiva,,INF01030,Visão Computacional II,60,4,INF01046
novo,Eletiva,,INF01216,Modelagem e Gerenciamento de Processos de Negócio,60,4,INF01127
novo,Eletiva,,ENG10055,SISTEMAS DE TEMPO REAL - I,60,4,INF01113
novo,Eletiva,,INF05009,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,60,4,OBRIGA100
novo,Eletiva,,INF01054,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,60,4,OBRIGA100
novo,Eletiva,,INF01055,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,60,4,OBRIGA100
novo,Eletiva,,INF01063,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,60,4,OBRIGA100
novo,Eletiva,,INF05013,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,60,4,OBRIGA100
novo,Eletiva,,ENG10057,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IX,60,4,NA
novo,Eletiva,,ENG10056,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VIII,30,2,NA
novo,Eletiva,,ENG10058,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO X,90,6,NA
novo,Eletiva,,ENG04038,ELETRÔNICA III,90,6,ENG04078; ENG10017
novo,Eletiva,,ENG04065,PROJETO DE SISTEMAS ANALÓGICOS E MISTOS INTEGRADOS,60,4,ENG04078; ENG04055; INF01185
novo,Eletiva,,ENG04064,PROJETO DE SISTEMAS DE RF INTEGRADOS,60,4,ENG04078; ENG04010; ENG04055
novo,Eletiva,,ENG10054,ROBÓTICA MÓVEL,60,4,ENG10017; INF01120; MAT02219
novo,Eletiva,,TopicosNovoXXXVII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVII,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXXXVIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVIII,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXXXIX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIX,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXL,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XL,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXLI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLI,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXLII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLII,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXLIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLIII,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXLIV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLIV,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXLV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLV,60,4,OBRIGA94
novo,Eletiva,,TopicosNovoXLVI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XLVI,60,4,OBRIGA94
novo,Eletiva,,DLVC,Aprendizado Profundo para Computação Visual,60,4,INF01202; MAT01355; MAT01354; MAT02219
