codigo,obtem,nome
INF05001,LdPeL,LABORATÓRIO DE PROGRAMAÇÃO EM LÓGICA
INF05003,TdCD,TEORIA DA COMPUTAÇÃO DISTRIBUÍDA
INF05004,ML,INTELIGÊNCIA ARTIFICIAL AVANÇADA
INF05004,InAA,INTELIGÊNCIA ARTIFICIAL AVANÇADA
INF05005,TeoComp1,LINGUAGENS FORMAIS E AUTÔMATOS N
INF05006,CtCN,CATEGORIAS COMPUTACIONAIS N
INF05008,PC,FUNDAMENTOS DE ALGORITMOS
INF05009,ToCICIX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX
INF05010,PAA3,OTIMIZAÇÃO COMBINATÓRIA
INF05011,ToCICXIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIII
INF05012,ToCICXIV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIV
INF05013,ToCICXV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV
INF05014,ToCICXIX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIX
INF05015,ToCICXX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XX
INF05016,ToCICXXI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXI
INF05018,BlgC,BIOLOGIA COMPUTACIONAL
INF05019,AAeSM,AGENTES AUTÔNOMOS E SISTEMAS MULTIAGENTES
INF05020,ToCICXXV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXV
INF05021,ToCICXXVI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVI
INF05022,ToCICXXVII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVII
INF05023,ToCICXXVIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVIII
INF05024,ProjCI,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V
INF05024,ToECPV,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V
INF05025,ToECPVI,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI
INF05501,TeoComp2,TEORIA DA COMPUTAÇÃO N
INF05504,ToCICV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO V
INF05505,ToCICVI,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VI
INF05508,Logica,LÓGICA PARA COMPUTAÇÃO
INF05508,VerifTeste,LÓGICA PARA COMPUTAÇÃO
INF05512,PAA1,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
INF05515,PAA2,COMPLEXIDADE DE ALGORITMOS - B
INF05516,LP1,SEMÂNTICA FORMAL N
LET02720,IIpPdDI,INGLÊS INSTRUMENTAL PARA PROCESSAMENTO DE DADOS I
MAT01032,CC,CÁLCULO NUMÉRICO A
MAT01353,Calc1,CÁLCULO E GEOMETRIA ANALÍTICA I - A
MAT01354,Calc2,CÁLCULO E GEOMETRIA ANALÍTICA II - A
MAT01355,AlgLin,ÁLGEBRA LINEAR I - A
MAT01375,MatDisc,MATEMÁTICA DISCRETA B
MAT02219,ProbEst,PROBABILIDADE E ESTATÍSTICA
Temp-4,ProjCI,Ingresso até Temp-4
Temp-5,ML,Ingresso até Temp-5
Temp-5,ProgPar,Ingresso até Temp-5
Temp-6,Seg,Ingresso até Temp-6
Temp-6,PLN,Ingresso até Temp-6
Temp-7,ProjInt,Ingresso até Temp-7
VAERE201,VAEREUm,VÍNCULO ACADÊMICO - ERE 2020/1
VAERE202,VAEREDois,VÍNCULO ACADÊMICO - ERE 2020/2
