cv,carater,etapa,codigo,nome,carga_horaria,creditos,prerequisito
velho,Obrigatória,6,INF01121,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,60,4,INF01120
velho,Obrigatória,5,INF05010,OTIMIZAÇÃO COMBINATÓRIA,60,4,INF05515; MAT01355
velho,Obrigatória,5,INF05516,SEMÂNTICA FORMAL N,60,4,INF05005
velho,Obrigatória,5,INF01142,SISTEMAS OPERACIONAIS I N,60,4,INF01112; INF01203
velho,Obrigatória,6,INF01147,COMPILADORES,60,4,INF05516
velho,Obrigatória,7,INF01032,EMPREENDIMENTO EM INFORMÁTICA OU INTRODUÇÃO AO EMPREENDEDORISMO E INOVAÇÃO,60,4,OBRIGA88
novo,Eletiva,,EmpreendimentoEletiva,ANTIGA EMPREENDIMENTO EM INFORMÁTICA,60,4,
velho,Obrigatória,6,INF01209,FUNDAMENTOS DE TOLERÂNCIA A FALHAS,60,4,INF01142
velho,Obrigatória,6,INF01043,INTERAÇÃO HOMEM-COMPUTADOR,60,4,INF01120
velho,Obrigatória,6,INF01154,REDES DE COMPUTADORES N,90,6,INF01058; INF01142; MAT02219
velho,Obrigatória,6,INF01151,SISTEMAS OPERACIONAIS II N,60,4,INF01142
velho,Eletiva,,INF05019,AGENTES AUTÔNOMOS E SISTEMAS MULTIAGENTES,60,4,INF01048
velho,Eletiva,,INF01017,APRENDIZADO DE MÁQUINA,60,4,INF01048
novo,Eletiva,,MLEletiva,NOVO APRENDIZADO DE MÁQUINA,60,4,
velho,Eletiva,,INF01023,ARQUITETURA E DESEMPENHO DE BANCO DE DADOS,60,4,INF01145
velho,Eletiva,,INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,60,4,INF01113
velho,Eletiva,,INF01146,AVALIAÇÃO DE DESEMPENHO,60,4,MAT02219
velho,Eletiva,,INF05018,BIOLOGIA COMPUTACIONAL,60,4,INF01202
velho,Eletiva,,INF01205,CAD PARA SISTEMAS DIGITAIS,60,4,INF01175
velho,Eletiva,,INF05006,CATEGORIAS COMPUTACIONAIS N,60,4,INF05501
velho,Eletiva,,INF01037,COMPUTAÇÃO EVOLUTIVA,60,4,INF01048
velho,Eletiva,,INF01009,COMPUTAÇÃO GRÁFICA,60,4,INF01047
velho,Eletiva,,INF01140,COMPUTADOR E SOCIEDADE,60,4,OBRIGA120
velho,Eletiva,,INF01005,COMUNICAÇÃO DE DADOS,60,4,INF01154
velho,Eletiva,,INF01185,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,60,4,INF01058
velho,Eletiva,,INF01056,DESAFIOS DE PROGRAMAÇÃO,60,4,INF01120; INF05515
velho,Eletiva,,ECO02254,ECONOMIA A,60,4,OBRIGA120
velho,Eletiva,,INF01001,ESPECIFICAÇÃO FORMAL N,60,4,INF05501
velho,Eletiva,,INF01213,FOTOGRAFIA COMPUTACIONAL,60,4,INF01046
velho,Eletiva,,INF01030,FUNDAMENTOS DE VISÃO COMPUTACIONAL,60,4,INF01046
velho,Eletiva,,INF01016,GERÊNCIA E ADMINISTRAÇÃO DE PROJETOS,60,4,INF01127
velho,Eletiva,,INF01015,GERÊNCIA E APLICAÇÕES EM REDES,60,4,INF01154
velho,Eletiva,,INF01039,HISTÓRIA DA COMPUTAÇÃO,60,4,OBRIGA94
velho,Eletiva,,LET02720,INGLÊS INSTRUMENTAL PARA PROCESSAMENTO DE DADOS I,60,4,NA
velho,Eletiva,,INF05004,INTELIGÊNCIA ARTIFICIAL AVANÇADA,60,4,INF01048
velho,Eletiva,,INF01049,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,30,2,OBRIGA80
velho,Eletiva,,INF05001,LABORATÓRIO DE PROGRAMAÇÃO EM LÓGICA,60,4,INF01048
velho,Eletiva,,INF01022,LABORATÓRIO DE SISTEMA DE SOFTWARE,60,4,INF01127
velho,Eletiva,,INF01215,MÉTODOS ÁGEIS,60,4,INF01127
velho,Eletiva,,INF01216,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,60,4,INF01127
velho,Eletiva,,INF01008,PROGRAMAÇÃO DISTRIBUÍDA E PARALELA,60,4,INF01120; INF01151
velho,Eletiva,,INF01006,PROJETO DE BANCO DE DADOS,60,4,INF01145
velho,Eletiva,,INF01021,PROJETO DE HIPERDOCUMENTOS,60,4,INF01145
velho,Eletiva,,INF01019,PROJETO EM COMPUTAÇÃO GRÁFICA,60,4,INF01047
velho,Eletiva,,INF01002,PROTOCOLOS DE COMUNICAÇÃO,60,4,INF01154
velho,Eletiva,,INF01034,ROBÓTICA II,60,4,INF01058; INF01120
velho,Eletiva,,INF01045,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,60,4,INF01154; INF05515
novo,Eletiva,,SegEletiva,ANTIGA SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,60,4,
velho,Eletiva,,INF01014,SISTEMAS DE BANCO DE DADOS DISTRIBUÍDOS,60,4,INF01145
velho,Eletiva,,INF01175,SISTEMAS DIGITAIS PARA COMPUTADORES A,60,4,INF01058
velho,Eletiva,,INF01059,SISTEMAS EMBARCADOS,60,4,INF01058; INF01142
velho,Eletiva,,INF01038,SISTEMAS ESPECIALISTAS N,60,4,INF01048
velho,Eletiva,,INF01018,SISTEMAS OPERACIONAIS DISTRIBUÍDOS E DE REDES,60,4,INF01151
velho,Eletiva,,INF01217,TENDÊNCIAS EM ENGENHARIA DE SOFTWARE,60,4,INF01127
velho,Eletiva,,INF05003,TEORIA DA COMPUTAÇÃO DISTRIBUÍDA,60,4,INF05006
velho,Eletiva,,INF01214,TESTE DE SOFTWARE,60,4,INF01127
velho,Eletiva,,INF01179,TÓPICOS ESPECIAIS EM COMPUTAÇÃO I,30,2,OBRIGA94
velho,Eletiva,,INF01182,TÓPICOS ESPECIAIS EM COMPUTAÇÃO II,30,2,OBRIGA94
velho,Eletiva,,INF01188,TÓPICOS ESPECIAIS EM COMPUTAÇÃO III,30,2,OBRIGA94
velho,Eletiva,,INF01198,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IV,30,2,OBRIGA94
velho,Eletiva,,INF05009,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,60,4,OBRIGA94
velho,Eletiva,,INF05504,TÓPICOS ESPECIAIS EM COMPUTAÇÃO V,30,2,OBRIGA94
velho,Eletiva,,INF05505,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VI,30,2,OBRIGA94
velho,Eletiva,,INF01054,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,60,4,OBRIGA94
velho,Eletiva,,INF01055,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,60,4,OBRIGA94
velho,Eletiva,,INF01065,TÓPICOS ESPECIAIS EM COMPUTAÇÃO X,30,2,OBRIGA94
velho,Eletiva,,INF01064,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XI,30,2,OBRIGA94
velho,Eletiva,,INF01063,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,60,4,OBRIGA94
velho,Eletiva,,INF05011,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIII,30,2,OBRIGA94
velho,Eletiva,,INF05012,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIV,30,2,OBRIGA94
velho,Eletiva,,INF05014,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIX,30,2,OBRIGA94
velho,Eletiva,,INF05013,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,60,4,OBRIGA94
velho,Eletiva,,INF01062,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVI,30,2,OBRIGA94
velho,Eletiva,,INF01061,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVII,30,2,OBRIGA94
velho,Eletiva,,INF01060,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVIII,60,4,OBRIGA94
velho,Eletiva,,INF05015,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XX,30,2,OBRIGA94
velho,Eletiva,,INF05016,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXI,60,4,OBRIGA94
velho,Eletiva,,INF01066,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXII,30,2,OBRIGA94
velho,Eletiva,,INF01067,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIII,30,2,OBRIGA94
velho,Eletiva,,INF01068,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIV,60,4,OBRIGA94
velho,Eletiva,,INF01069,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIX,30,2,OBRIGA94
velho,Eletiva,,INF05020,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXV,30,2,OBRIGA94
velho,Eletiva,,INF05021,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVI,30,2,OBRIGA94
velho,Eletiva,,INF05022,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVII,60,4,OBRIGA94
velho,Eletiva,,INF05023,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXVIII,60,4,OBRIGA94
velho,Eletiva,,INF01070,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXX,30,2,OBRIGA94
velho,Eletiva,,INF01071,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXI,30,2,OBRIGA94
velho,Eletiva,,INF01072,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXII,30,2,OBRIGA94
velho,Eletiva,,INF01218,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIII,60,4,OBRIGA94
velho,Eletiva,,INF01219,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIV,60,4,OBRIGA94
velho,Eletiva,,INF01220,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXV,60,4,OBRIGA94
velho,Eletiva,,INF01221,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVI,60,4,OBRIGA94
velho,Eletiva,,INF01050,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,60,4,OBRIGA94
novo,Eletiva,,PLNEletiva,Nova INF01050,60,4,
velho,Eletiva,,INF01053,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,30,2,OBRIGA94
velho,Eletiva,,INF05024,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,30,2,OBRIGA94
velho,Eletiva,,INF05025,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,30,2,OBRIGA94
velho,Eletiva,,VAERE201,VÍNCULO ACADÊMICO - ERE 2020/1,0,0,NA
velho,Eletiva,,VAERE202,VÍNCULO ACADÊMICO - ERE 2020/2,0,0,NA
velho,Eletiva,,Temp-4,Ingresso até Temp-4,0,0,NA
velho,Eletiva,,Temp-5,Ingresso até Temp-5,0,0,NA
velho,Eletiva,,Temp-6,Ingresso até Temp-6,0,0,NA
velho,Eletiva,,Temp-7,Ingresso até Temp-7,0,0,NA
novo,Eletiva,,AAeSM,Agentes Autonomos e Sistemas Multiagentes,60,4,NA
novo,Eletiva,,ApdM,Aprendizado de Maquina,60,4,NA
novo,Eletiva,,AeDdBdD,Arquitetura e Desempenho de Banco de Dados,60,4,NA
novo,Eletiva,,AAdC,Arquiteturas Avancadas de Computadores,60,4,NA
novo,Eletiva,,AvdD,Avaliacao de Desempenho,60,4,NA
novo,Eletiva,,BlgC,Biologia Computacional,60,4,NA
novo,Eletiva,,CpSD,Cad para Sistemas Digitais,60,4,NA
novo,Eletiva,,CtCN,Categorias Computacionais N,60,4,NA
novo,Eletiva,,CmpE,Computacao Evolutiva,60,4,NA
novo,Eletiva,,CmpG,Computacao Grafica,60,4,NA
novo,Eletiva,,CmeS,Computador e Sociedade,60,4,NA
novo,Eletiva,,CmdD,Comunicacao de Dados,60,4,NA
novo,Eletiva,,CdCII,Concepcao de Circuitos Integrados I,60,4,NA
novo,Eletiva,,DsdP,Desafios de Programacao,60,4,NA
novo,Eletiva,,EcnA,Economia A,60,4,NA
novo,Eletiva,,EsFN,Especificacao Formal N,60,4,NA
novo,Eletiva,,FtgC,Fotografia Computacional,60,4,NA
novo,Eletiva,,FdVC,Fundamentos de Visao Computacional,60,4,NA
novo,Eletiva,,GeAdP,Gerencia e Administracao de Projetos,60,4,NA
novo,Eletiva,,GeAeR,Gerencia e Aplicacoes em Redes,60,4,NA
novo,Eletiva,,HsdC,Historia da Computacao,60,4,NA
novo,Eletiva,,IIpPdDI,Ingles Instrumental para Processamento de Dados I,60,4,NA
novo,Eletiva,,InAA,Inteligencia Artificial Avancada,60,4,NA
novo,Eletiva,,IAPeI,Introducao A Pesquisa em Informatica,30,2,NA
novo,Eletiva,,LdPeL,Laboratorio de Programacao em Logica,60,4,NA
novo,Eletiva,,LdSdS,Laboratorio de Sistema de Software,60,4,NA
novo,Eletiva,,MtdA,Metodos Ageis,60,4,NA
novo,Eletiva,,MeGdPdN,Modelagem e Gerenciamento de Processos de Negocio,60,4,NA
novo,Eletiva,,PDeP,Programacao Distribuida e Paralela,60,4,NA
novo,Eletiva,,PdBdD,Projeto de Banco de Dados,60,4,NA
novo,Eletiva,,PrdH,Projeto de Hiperdocumentos,60,4,NA
novo,Eletiva,,PeCG,Projeto em Computacao Grafica,60,4,NA
novo,Eletiva,,PrdC,Protocolos de Comunicacao,60,4,NA
novo,Eletiva,,RbtI,Robotica Ii,60,4,NA
novo,Eletiva,,SeSdC,Seguranca em Sistemas de Computacao,60,4,NA
novo,Eletiva,,SdBdDD,Sistemas de Banco de Dados Distribuidos,60,4,NA
novo,Eletiva,,SDpCA,Sistemas Digitais para Computadores A,60,4,NA
novo,Eletiva,,SstE,Sistemas Embarcados,60,4,NA
novo,Eletiva,,SsEN,Sistemas Especialistas N,60,4,NA
novo,Eletiva,,SODedR,Sistemas Operacionais Distribuidos e de Redes,60,4,NA
novo,Eletiva,,TeEdS,Tendencias em Engenharia de Software,60,4,NA
novo,Eletiva,,TdCD,Teoria da Computacao Distribuida,60,4,NA
novo,Eletiva,,TsdS,Teste de Software,60,4,NA
novo,Eletiva,,TDGeAC,Teoria Dos Grafos e Analise Combinatoria,60,4,NA
novo,Eletiva,,MdLdP,Modelos de Linguagem de Programacao,60,4,NA
novo,Eletiva,,FdTAF,Fundamentos de Tolerancia A Falhas,60,4,NA
novo,Eletiva,,ToCICI,TOPICOS ESPECIAIS EM COMPUTACAO I,30,2,NA
novo,Eletiva,,ToCICII,TOPICOS ESPECIAIS EM COMPUTACAO II,30,2,NA
novo,Eletiva,,ToCICIII,TOPICOS ESPECIAIS EM COMPUTACAO III,30,2,NA
novo,Eletiva,,ToCICIV,TOPICOS ESPECIAIS EM COMPUTACAO IV,30,2,NA
novo,Eletiva,,ToCICIX,TOPICOS ESPECIAIS EM COMPUTACAO IX,60,4,NA
novo,Eletiva,,ToCICV,TOPICOS ESPECIAIS EM COMPUTACAO V,30,2,NA
novo,Eletiva,,ToCICVI,TOPICOS ESPECIAIS EM COMPUTACAO VI,30,2,NA
novo,Eletiva,,ToCICVII,TOPICOS ESPECIAIS EM COMPUTACAO VII,60,4,NA
novo,Eletiva,,ToCICVIII,TOPICOS ESPECIAIS EM COMPUTACAO VIII,60,4,NA
novo,Eletiva,,ToCICX,TOPICOS ESPECIAIS EM COMPUTACAO X,30,2,NA
novo,Eletiva,,ToCICXI,TOPICOS ESPECIAIS EM COMPUTACAO XI,30,2,NA
novo,Eletiva,,ToCICXII,TOPICOS ESPECIAIS EM COMPUTACAO XII,60,4,NA
novo,Eletiva,,ToCICXIII,TOPICOS ESPECIAIS EM COMPUTACAO XIII,30,2,NA
novo,Eletiva,,ToCICXIV,TOPICOS ESPECIAIS EM COMPUTACAO XIV,30,2,NA
novo,Eletiva,,ToCICXIX,TOPICOS ESPECIAIS EM COMPUTACAO XIX,30,2,NA
novo,Eletiva,,ToCICXV,TOPICOS ESPECIAIS EM COMPUTACAO XV,60,4,NA
novo,Eletiva,,ToCICXVI,TOPICOS ESPECIAIS EM COMPUTACAO XVI,30,2,NA
novo,Eletiva,,ToCICXVII,TOPICOS ESPECIAIS EM COMPUTACAO XVII,30,2,NA
novo,Eletiva,,ToCICXVIII,TOPICOS ESPECIAIS EM COMPUTACAO XVIII,60,4,NA
novo,Eletiva,,ToCICXX,TOPICOS ESPECIAIS EM COMPUTACAO XX,30,2,NA
novo,Eletiva,,ToCICXXI,TOPICOS ESPECIAIS EM COMPUTACAO XXI,60,4,NA
novo,Eletiva,,ToCICXXII,TOPICOS ESPECIAIS EM COMPUTACAO XXII,30,2,NA
novo,Eletiva,,ToCICXXIII,TOPICOS ESPECIAIS EM COMPUTACAO XXIII,30,2,NA
novo,Eletiva,,ToCICXXIV,TOPICOS ESPECIAIS EM COMPUTACAO XXIV,60,4,NA
novo,Eletiva,,ToCICXXIX,TOPICOS ESPECIAIS EM COMPUTACAO XXIX,30,2,NA
novo,Eletiva,,ToCICXXV,TOPICOS ESPECIAIS EM COMPUTACAO XXV,30,2,NA
novo,Eletiva,,ToCICXXVI,TOPICOS ESPECIAIS EM COMPUTACAO XXVI,30,2,NA
novo,Eletiva,,ToCICXXVII,TOPICOS ESPECIAIS EM COMPUTACAO XXVII,60,4,NA
novo,Eletiva,,ToCICXXVIII,TOPICOS ESPECIAIS EM COMPUTACAO XXVIII,60,4,NA
novo,Eletiva,,ToCICXXX,TOPICOS ESPECIAIS EM COMPUTACAO XXX,30,2,NA
novo,Eletiva,,ToCICXXXI,TOPICOS ESPECIAIS EM COMPUTACAO XXXI,30,2,NA
novo,Eletiva,,ToCICXXXII,TOPICOS ESPECIAIS EM COMPUTACAO XXXII,30,2,NA
novo,Eletiva,,ToCICXXXIII,TOPICOS ESPECIAIS EM COMPUTACAO XXXIII,60,4,NA
novo,Eletiva,,ToCICXXXIV,TOPICOS ESPECIAIS EM COMPUTACAO XXXIV,60,4,NA
novo,Eletiva,,ToCICXXXV,TOPICOS ESPECIAIS EM COMPUTACAO XXXV,60,4,NA
novo,Eletiva,,ToCICXXXVI,TOPICOS ESPECIAIS EM COMPUTACAO XXXVI,60,4,NA
novo,Eletiva,,ToECPI,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO I,60,4,NA
novo,Eletiva,,ToECPIV,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO IV,30,2,NA
novo,Eletiva,,ToECPV,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO V,30,2,NA
novo,Eletiva,,ToECPVI,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO VI,30,2,NA
novo,Eletiva,,VAEREUm,VINCULO ACADEMICO - ERE 2020/1,0,0,NA
novo,Eletiva,,VAEREDois,VINCULO ACADEMICO - ERE 2020/2,0,0,NA
