codigo_fez,carater_fez,creditos_fez,codigo_obtem,carater_obtem,creditos_obtem,nome_regra,nome_fez,nome_obtem,tipo_regra
INF01064,Eletiva,2,ToCICXI,Eletiva,2,INF01064=ToCICXI,Tópicos Especiais em Computação XI,Topicos Especiais em Computacao XI,mapeamento direto
INF01065,Eletiva,2,ToCICX,Eletiva,2,INF01065=ToCICX,Tópicos Especiais em Computação X,Topicos Especiais em Computacao X,mapeamento direto
INF01066,Eletiva,2,ToCICXXII,Eletiva,2,INF01066=ToCICXXII,Tópicos Especiais em Computação XXII,Topicos Especiais em Computacao XXII,mapeamento direto
INF01067,Eletiva,2,ToCICXXIII,Eletiva,2,INF01067=ToCICXXIII,Tópicos Especiais em Computação XXIII,Topicos Especiais em Computacao XXIII,mapeamento direto
INF01068,Eletiva,4,ToCICXXIV,Eletiva,4,INF01068=ToCICXXIV,Tópicos Especiais em Computação XXIV,Topicos Especiais em Computacao XXIV,mapeamento direto
INF01069,Eletiva,2,ToCICXXIX,Eletiva,2,INF01069=ToCICXXIX,Tópicos Especiais em Computação XXIX,Topicos Especiais em Computacao XXIX,mapeamento direto
INF01070,Eletiva,2,ToCICXXX,Eletiva,2,INF01070=ToCICXXX,Tópicos Especiais em Computação XXX,Topicos Especiais em Computacao XXX,mapeamento direto
INF01071,Eletiva,2,ToCICXXXI,Eletiva,2,INF01071=ToCICXXXI,Tópicos Especiais em Computação XXXI,Topicos Especiais em Computacao XXXXI,mapeamento direto
INF01072,Eletiva,2,ToCICXXXII,Eletiva,2,INF01072=ToCICXXXII,Tópicos Especiais em Computação XXXII,Topicos Especiais em Computacao XXXII,mapeamento direto
INF01107,Obrigatória,4,IntroCIC,Obrigatória,4,INF01107=IntroCIC,Introdução à Arquitetura de Computadores,Introdução à Ciência da Computação,mapeamento não direto
INF01108,Obrigatória,4,Arq,Obrigatória,4,INF01108=Arq,Arquitetura e Organização de Computadores I,Arquitetura de Computadores,mapeamento não direto
INF01113,Obrigatória,4,OrgComp,Obrigatória,4,INF01113=OrgComp,Organização de Computadores B,Organização de Computadores,mapeamento direto
INF01120,Obrigatória,4,TCP,Obrigatória,4,INF01120=TCP,Técnicas de Construção de Programas,Desenvolvimento de Software de Qualidade,mapeamento não direto
INF01121,Obrigatória,4,MdLdP,Eletiva,4,INF01121=MdLdP,Modelos de Linguagem de Programação,Modelos de Linguagem de Programacao,mudança de caráter
INF01127,Obrigatória,4,ES,Obrigatória,4,INF01127=ES,Engenharia de Software N,Engenharia de Software,mapeamento direto
INF01140,Eletiva,4,CmeS,Eletiva,4,INF01140=CmeS,Computador e Sociedade,Computador e Sociedade,mapeamento direto
INF01142,Obrigatória,4,SisOp,Obrigatória,4,INF01142=SisOp,Sistemas Operacionais I N,Sistemas Operacionais,mapeamento direto
INF01145,Obrigatória,4,BD,Obrigatória,4,INF01145=BD,Fundamentos de Banco de Dados,Fundamentos de Bancos de Dados,mapeamento direto
INF01146,Eletiva,4,AvdD,Eletiva,4,INF01146=AvdD,Avaliação de Desempenho,Avaliacao de Desempenho,mapeamento direto
INF01147,Obrigatória,4,LP2,Obrigatória,4,INF01147=LP2,Compiladores,Linguagens de Programação II,mapeamento não direto
INF01151,Obrigatória,4,SDTF,Obrigatória,4,INF01151=SDTF,Sistemas Operacionais II N,Sistemas Distribuídos e Tolerantes A Falhas,mapeamento não direto
INF01154,Obrigatória,6,Redes,Obrigatória,4,INF01154=Redes,Redes de Computadores N,Redes de Computadores,mudança no número de créditos
INF01175,Eletiva,4,SDpCA,Eletiva,4,INF01175=SDpCA,Sistemas Digitais Para Computadores A,Sistemas Digitais Para Computadores A,mapeamento direto
INF01179,Eletiva,2,ToCICI,Eletiva,2,INF01179=ToCICI,Tópicos Especiais em Computação I,Topicos Especiais em Computacao I,mapeamento direto
INF01182,Eletiva,2,ToCICII,Eletiva,2,INF01182=ToCICII,Tópicos Especiais em Computação II,Topicos Especiais em Computacao II,mapeamento direto
INF01185,Eletiva,4,CdCII,Eletiva,4,INF01185=CdCII,Concepção de Circuitos Integrados I,Concepcao de Circuitos Integrados I,mapeamento direto
INF01188,Eletiva,2,ToCICIII,Eletiva,2,INF01188=ToCICIII,Tópicos Especiais em Computação III,Topicos Especiais em Computacao III,mapeamento direto
INF01191,Eletiva,4,AAdC,Eletiva,4,INF01191=AAdC,Arquiteturas Avançadas de Computadores,Arquiteturas Avancadas de Computadores,mapeamento direto
INF01198,Eletiva,2,ToCICIV,Eletiva,2,INF01198=ToCICIV,Tópicos Especiais em Computação IV,Topicos Especiais em Computacao IV,mapeamento direto
INF01202,Obrigatória,6,ALP,Obrigatória,6,INF01202=ALP,Algorítmos e Programação - CIC,Algorítmos e Programação,mapeamento direto
INF01203,Obrigatória,4,ED,Obrigatória,4,INF01203=ED,Estruturas de Dados,Estruturas de Dados,mapeamento direto
INF01205,Eletiva,4,CpSD,Eletiva,4,INF01205=CpSD,Cad Para Sistemas Digitais,Cad Para Sistemas Digitais,mapeamento direto
INF01209,Obrigatória,4,FdTAF,Eletiva,4,INF01209=FdTAF,Fundamentos de Tolerância A Falhas,Fundamentos de Tolerancia A Falhas,mudança de caráter
INF01213,Eletiva,4,FtgC,Eletiva,4,INF01213=FtgC,Fotografia Computacional,Fotografia Computacional,mapeamento direto
INF01214,Eletiva,4,TsdS,Eletiva,4,INF01214=TsdS,Teste de Software,Teste de Software,mapeamento direto
INF01215,Eletiva,4,MtdA,Eletiva,4,INF01215=MtdA,Métodos Ágeis,Metodos Ageis,mapeamento direto
INF01216,Eletiva,4,MeGdPdN,Eletiva,4,INF01216=MeGdPdN,Modelagem e Gerenciamento de Processos de Negócio,Modelagem e Gerenciamento de Processos de Negocio,mapeamento direto
INF01217,Eletiva,4,TeEdS,Eletiva,4,INF01217=TeEdS,Tendências em Engenharia de Software,Tendencias em Engenharia de Software,mapeamento direto
INF01218,Eletiva,4,ToCICXXXIII,Eletiva,4,INF01218=ToCICXXXIII,Tópicos Especiais em Computação XXXIII,Topicos Especiais em Computacao XXXIII,mapeamento direto
INF01219,Eletiva,4,PLN,Obrigatória,4,INF01219=PLN,Tópicos Especiais em Computação XXXIV,Processamento de Linguagem Natural,mudança de caráter
INF01220,Eletiva,4,ToCICXXXV,Eletiva,4,INF01220=ToCICXXXV,Tópicos Especiais em Computação XXXV,Topicos Especiais em Computacao Xxxv,mapeamento direto
INF01221,Eletiva,4,PLN,Obrigatória,4,INF01221=PLN,Tópicos Especiais em Computação XXXVI,Processamento de Linguagem Natural,mudança de caráter
INF05001,Eletiva,4,LdPeL,Eletiva,4,INF05001=LdPeL,Laboratório de Programação em Lógica,Laboratorio de Programacao em Logica,mapeamento direto
INF05003,Eletiva,4,TdCD,Eletiva,4,INF05003=TdCD,Teoria da Computação Distribuída,Teoria da Computacao Distribuida,mapeamento direto
INF05004,Eletiva,4,ML,Obrigatória,4,INF05004=ML,Inteligência Artificial Avançada,Aprendizado de Máquina,mapeamento não direto
INF05004,Eletiva,4,InAA,Eletiva,4,INF05004=InAA,Inteligência Artificial Avançada,Inteligencia Artificial Avancada,mapeamento direto
INF05005,Obrigatória,4,TeoComp1,Obrigatória,4,INF05005=TeoComp1,Linguagens Formais e Autômatos N,Teoria da Computação I - Linguagens Formais e Autômatos,mapeamento não direto
INF05006,Eletiva,4,CtCN,Eletiva,4,INF05006=CtCN,Categorias Computacionais N,Categorias Computacionais N,mapeamento direto
INF05008,Obrigatória,4,PC,Obrigatória,4,INF05008=PC,Fundamentos de Algoritmos,Pensamento Computacional,mapeamento não direto
INF05009,Eletiva,4,ToCICIX,Eletiva,4,INF05009=ToCICIX,Tópicos Especiais em Computação IX,Topicos Especiais em Computacao IX,mapeamento direto
INF05010,Obrigatória,4,PAA3,Obrigatória,4,INF05010=PAA3,Otimização Combinatória,Projeto e Análise de Algoritmos III,mapeamento não direto
INF05011,Eletiva,2,ToCICXIII,Eletiva,2,INF05011=ToCICXIII,Tópicos Especiais em Computação XIII,Topicos Especiais em Computacao XIII,mapeamento direto
INF05012,Eletiva,2,ToCICXIV,Eletiva,2,INF05012=ToCICXIV,Tópicos Especiais em Computação XIV,Topicos Especiais em Computacao XIV,mapeamento direto
INF05013,Eletiva,4,ToCICXV,Eletiva,4,INF05013=ToCICXV,Tópicos Especiais em Computação XV,Topicos Especiais em Computacao XV,mapeamento direto
INF05014,Eletiva,2,ToCICXIX,Eletiva,2,INF05014=ToCICXIX,Tópicos Especiais em Computação XIX,Topicos Especiais em Computacao XIX,mapeamento direto
INF05015,Eletiva,2,ToCICXX,Eletiva,2,INF05015=ToCICXX,Tópicos Especiais em Computação XX,Topicos Especiais em Computacao XX,mapeamento direto
INF05016,Eletiva,4,ToCICXXI,Eletiva,4,INF05016=ToCICXXI,Tópicos Especiais em Computação XXI,Topicos Especiais em Computacao XXI,mapeamento direto
INF05018,Eletiva,4,BlgC,Eletiva,4,INF05018=BlgC,Biologia Computacional,Biologia Computacional,mapeamento direto
INF05019,Eletiva,4,AAeSM,Eletiva,4,INF05019=AAeSM,Agentes Autônomos e Sistemas Multiagentes,Agentes Autonomos e Sistemas Multiagentes,mapeamento direto
INF05020,Eletiva,2,ToCICXXV,Eletiva,2,INF05020=ToCICXXV,Tópicos Especiais em Computação XXV,Topicos Especiais em Computacao XXV,mapeamento direto
INF05021,Eletiva,2,ToCICXXVI,Eletiva,2,INF05021=ToCICXXVI,Tópicos Especiais em Computação XXVI,Topicos Especiais em Computacao XXVI,mapeamento direto
INF05022,Eletiva,4,ToCICXXVII,Eletiva,4,INF05022=ToCICXXVII,Tópicos Especiais em Computação XXVII,Topicos Especiais em Computacao XXVII,mapeamento direto
INF05023,Eletiva,4,ToCICXXVIII,Eletiva,4,INF05023=ToCICXXVIII,Tópicos Especiais em Computação XXVIII,Topicos Especiais em Computacao XXVIII,mapeamento direto
INF05024,Eletiva,2,ProjCI,Obrigatória,8,INF05024=ProjCI,Tópicos Especiais em Engenharia de Computação V,Projeto em Ciência e Inovação,mudança de caráter
INF05024,Eletiva,2,ToECPV,Eletiva,2,INF05024=ToECPV,Tópicos Especiais em Engenharia de Computação V,Topicos Especiais em Engenharia de Computacao V,mapeamento direto
INF05025,Eletiva,2,ToECPVI,Eletiva,2,INF05025=ToECPVI,Tópicos Especiais em Engenharia de Computação VI,Topicos Especiais em Engenharia de Computacao VI,mapeamento direto
INF05501,Obrigatória,4,TeoComp2,Obrigatória,4,INF05501=TeoComp2,Teoria da Computação N,Teoria da Computação II - Computabilidade e Complexidade,mapeamento não direto
INF05504,Eletiva,2,ToCICV,Eletiva,2,INF05504=ToCICV,Tópicos Especiais em Computação V,Topicos Especiais em Computacao V,mapeamento direto
INF05505,Eletiva,2,ToCICVI,Eletiva,2,INF05505=ToCICVI,Tópicos Especiais em Computação VI,Topicos Especiais em Computacao VI,mapeamento direto
INF05508,Obrigatória,4,Logica,Obrigatória,4,INF05508=Logica,Lógica Para Computação,Lógica e Correção de Programas,mapeamento não direto
INF05508,Obrigatória,4,VerifTeste,Obrigatória,2,INF05508=VerifTeste,Lógica Para Computação,Verificação e Teste de Software,mapeamento não direto
INF05512,Obrigatória,4,PAA1,Obrigatória,4,INF05512=PAA1,Teoria Dos Grafos e Análise Combinatória,Projeto e Análise de Algoritmos I,mapeamento não direto
INF05515,Obrigatória,4,PAA2,Obrigatória,4,INF05515=PAA2,Complexidade de Algoritmos - B,Projeto e Análise de Algoritmos II,mapeamento não direto
INF05516,Obrigatória,4,LP1,Obrigatória,4,INF05516=LP1,Semântica Formal N,Linguagens de Programação I,mapeamento não direto
