tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
mapeamento direto,Fundamentos De Banco De Dados,Obrigatória,4,Fundamentos De Bancos De Dados,Obrigatória,4
mapeamento direto,Avaliação De Desempenho,Eletiva,4,Avaliacao De Desempenho,Eletiva,4
mapeamento não direto,Compiladores,Obrigatória,4,Linguagens De Programação II,Obrigatória,4
mapeamento não direto,Sistemas Operacionais II N,Obrigatória,4,Sistemas Distribuídos E Tolerantes A Falhas,Obrigatória,4
mudança no número de créditos,Redes De Computadores N,Obrigatória,6,Redes De Computadores,Obrigatória,4
mapeamento direto,Sistemas Digitais Para Computadores A,Eletiva,4,Sistemas Digitais Para Computadores A,Eletiva,4
mapeamento direto,Tópicos Especiais Em Computação I,Eletiva,2,Topicos Especiais Em Computacao I,Eletiva,2
mapeamento direto,Tópicos Especiais Em Computação II,Eletiva,2,Topicos Especiais Em Computacao II,Eletiva,2
mapeamento direto,Concepção De Circuitos Integrados I,Eletiva,4,Concepcao De Circuitos Integrados I,Eletiva,4
mapeamento direto,Tópicos Especiais Em Computação III,Eletiva,2,Topicos Especiais Em Computacao III,Eletiva,2
mapeamento direto,Arquiteturas Avançadas De Computadores,Eletiva,4,Arquiteturas Avancadas De Computadores,Eletiva,4
mapeamento direto,Tópicos Especiais Em Computação IV,Eletiva,2,Topicos Especiais Em Computacao IV,Eletiva,2
mapeamento direto,Algorítmos E Programação - Cic,Obrigatória,6,Algoritmos E Programação,Obrigatória,6
mapeamento direto,Estruturas De Dados,Obrigatória,4,Estruturas De Dados,Obrigatória,4
mapeamento direto,Cad Para Sistemas Digitais,Eletiva,4,Cad Para Sistemas Digitais,Eletiva,4
mapeamento direto,Fundamentos De Tolerância A Falhas,Obrigatória,4,Fundamentos De Tolerancia A Falhas,Eletiva,4
mapeamento direto,Fotografia Computacional,Eletiva,4,Fotografia Computacional,Eletiva,4
mapeamento direto,Teste De Software,Eletiva,4,Teste De Software,Eletiva,4
mapeamento direto,Métodos Ágeis,Eletiva,4,Metodos Ageis,Eletiva,4
mapeamento direto,Modelagem E Gerenciamento De Processos De Negócio,Eletiva,4,Modelagem E Gerenciamento De Processos De Negocio,Eletiva,4
mapeamento direto,Tendências Em Engenharia De Software,Eletiva,4,Tendencias Em Engenharia De Software,Eletiva,4
mapeamento direto,Tópicos Especiais Em Computação XXXIII,Eletiva,4,Topicos Especiais Em Computacao XXXIII,Eletiva,4
mudança de caráter,Tópicos Especiais Em Computação XXXIV,Eletiva,4,Processamento De Linguagem Natural,Obrigatória,4
mapeamento direto,Tópicos Especiais Em Computação XXXV,Eletiva,4,Topicos Especiais Em Computacao Xxxv,Eletiva,4
mudança de caráter,Tópicos Especiais Em Computação XXXVI,Eletiva,4,Processamento De Linguagem Natural,Obrigatória,4
mapeamento direto,Laboratório De Programação Em Lógica,Eletiva,4,Laboratorio De Programacao Em Logica,Eletiva,4
mapeamento direto,Teoria Da Computação Distribuída,Eletiva,4,Teoria Da Computacao Distribuida,Eletiva,4
mapeamento não direto,Inteligência Artificial Avançada,Eletiva,4,Aprendizado De Máquina,Obrigatória,4
mapeamento direto,Inteligência Artificial Avançada,Eletiva,4,Inteligencia Artificial Avancada,Eletiva,4
mapeamento não direto,Linguagens Formais E Autômatos N,Obrigatória,4,Teoria Da Computação I - Linguagens Formais E Autômatos,Obrigatória,4
mapeamento direto,Categorias Computacionais N,Eletiva,4,Categorias Computacionais N,Eletiva,4
mapeamento não direto,Fundamentos De Algoritmos,Obrigatória,4,Pensamento Computacional,Obrigatória,4
mapeamento direto,Tópicos Especiais Em Computação IX,Eletiva,4,Topicos Especiais Em Computacao IX,Eletiva,4
mapeamento não direto,Otimização Combinatória,Obrigatória,4,Projeto E Análise De Algoritmos III,Obrigatória,4
mapeamento direto,Tópicos Especiais Em Computação XIII,Eletiva,2,Topicos Especiais Em Computacao XIII,Eletiva,2
mapeamento direto,Tópicos Especiais Em Computação XIV,Eletiva,2,Topicos Especiais Em Computacao XIV,Eletiva,2
mapeamento direto,Tópicos Especiais Em Computação XV,Eletiva,4,Topicos Especiais Em Computacao XV,Eletiva,4
mapeamento direto,Tópicos Especiais Em Computação XIX,Eletiva,2,Topicos Especiais Em Computacao XIX,Eletiva,2
mapeamento direto,Tópicos Especiais Em Computação XX,Eletiva,2,Topicos Especiais Em Computacao XX,Eletiva,2
mapeamento direto,Tópicos Especiais Em Computação XXI,Eletiva,4,Topicos Especiais Em Computacao XXI,Eletiva,4
mapeamento direto,Biologia Computacional,Eletiva,4,Biologia Computacional,Eletiva,4
mapeamento direto,Agentes Autônomos E Sistemas Multiagentes,Eletiva,4,Agentes Autonomos E Sistemas Multiagentes,Eletiva,4
mapeamento direto,Tópicos Especiais Em Computação XXV,Eletiva,2,Topicos Especiais Em Computacao XXV,Eletiva,2
mapeamento direto,Tópicos Especiais Em Computação XXVI,Eletiva,2,Topicos Especiais Em Computacao XXVI,Eletiva,2
mapeamento direto,Tópicos Especiais Em Computação XXVII,Eletiva,4,Topicos Especiais Em Computacao XXVII,Eletiva,4
mapeamento direto,Tópicos Especiais Em Computação XXVIII,Eletiva,4,Topicos Especiais Em Computacao XXVIII,Eletiva,4
mudança de caráter,Tópicos Especiais Em Engenharia De Computação V,Eletiva,2,Projeto Em Ciência E Inovação,Obrigatória,8
mapeamento direto,Tópicos Especiais Em Engenharia De Computação V,Eletiva,2,Topicos Especiais Em Engenharia De Computacao V,Eletiva,2
mapeamento direto,Tópicos Especiais Em Engenharia De Computação VI,Eletiva,2,Topicos Especiais Em Engenharia De Computacao VI,Eletiva,2
mapeamento não direto,Teoria Da Computação N,Obrigatória,4,Teoria Da Computação II - Computabilidade E Complexidade,Obrigatória,4
mapeamento direto,Tópicos Especiais Em Computação V,Eletiva,2,Topicos Especiais Em Computacao V,Eletiva,2
mapeamento direto,Tópicos Especiais Em Computação VI,Eletiva,2,Topicos Especiais Em Computacao VI,Eletiva,2
mapeamento não direto,Lógica Para Computação,Obrigatória,4,Lógica E Correção De Programas,Obrigatória,4
mapeamento não direto,Lógica Para Computação,Obrigatória,4,Verificação E Teste De Software,Obrigatória,2
mapeamento não direto,Teoria Dos Grafos E Análise Combinatória,Obrigatória,4,Projeto E Análise De Algoritmos I,Obrigatória,4
mapeamento não direto,Complexidade De Algoritmos - B,Obrigatória,4,Projeto E Análise De Algoritmos II,Obrigatória,4
mapeamento não direto,Semântica Formal N,Obrigatória,4,Linguagens De Programação I,Obrigatória,4
mapeamento direto,Inglês Instrumental Para Processamento De Dados I,Eletiva,4,Ingles Instrumental Para Processamento De Dados I,Eletiva,4
mapeamento não direto,Cálculo Numérico A,Obrigatória,4,Computação Científica,Obrigatória,4
mapeamento direto,Cálculo E Geometria Analítica I - A,Obrigatória,6,Cálculo E Geometria Analítica I - A,Obrigatória,6
mapeamento direto,Cálculo E Geometria Analítica II - A,Obrigatória,6,Cálculo E Geometria Analítica II - A,Obrigatória,6
