tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
mapeamento direto,FUNDAMENTOS DE VISÃO COMPUTACIONAL,Eletiva,4,Fundamentos de Visao Computacional,Eletiva,4
mapeamento direto,ROBÓTICA II,Eletiva,4,Robotica Ii,Eletiva,4
mapeamento direto,COMPUTAÇÃO EVOLUTIVA,Eletiva,4,Computacao Evolutiva,Eletiva,4
mapeamento direto,SISTEMAS ESPECIALISTAS N,Eletiva,4,Sistemas Especialistas N,Eletiva,4
mapeamento direto,HISTÓRIA DA COMPUTAÇÃO,Eletiva,4,Historia da Computacao,Eletiva,4
mapeamento direto,INTERAÇÃO HOMEM-COMPUTADOR,Obrigatória,4,Interação Humano-Computador e UX,Obrigatória,4
mapeamento não direto,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,Eletiva,4,Segurança de Sistemas e da Informação,Obrigatória,4
mapeamento não direto,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,Obrigatória,4,Processamento de Imagens e Visão Computacional,Obrigatória,4
mapeamento não direto,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,Obrigatória,4,Computação Gráfica e Visualização,Obrigatória,4
mapeamento direto,INTELIGÊNCIA ARTIFICIAL,Obrigatória,4,Inteligência Artificial,Obrigatória,4
mapeamento direto,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,Eletiva,2,Introducao A Pesquisa em Informatica,Eletiva,2
mapeamento não direto,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,Eletiva,4,Processamento de Linguagem Natural,Obrigatória,4
mapeamento direto,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,Eletiva,2,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO IV,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO VII,Eletiva,4
