tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
,SISTEMAS ESPECIALISTAS N,Eletiva,4,Sistemas Especialistas N,Eletiva,4
,HISTÓRIA DA COMPUTAÇÃO,Eletiva,4,Historia da Computacao,Eletiva,4
,INTERAÇÃO HOMEM-COMPUTADOR,Obrigatória,4,Interação Humano-Computador e UX,Obrigatória,4
,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,Eletiva,4,Segurança de Sistemas e da Informação,Obrigatória,4
,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,Obrigatória,4,Processamento de Imagens e Visão Computacional,Obrigatória,4
,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,Obrigatória,4,Computação Gráfica e Visualização,Obrigatória,4
,INTELIGÊNCIA ARTIFICIAL,Obrigatória,4,Inteligência Artificial,Obrigatória,4
,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,Eletiva,2,Introducao A Pesquisa em Informatica,Eletiva,2
,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,Eletiva,4,Processamento de Linguagem Natural,Obrigatória,4
,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,Eletiva,2,TOPICOS ESPECIAIS EM ENGENHARIA DE COMPUTACAO IV,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO VII,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO VIII,Eletiva,4
,DESAFIOS DE PROGRAMAÇÃO,Eletiva,4,Desafios de Programacao,Eletiva,4
,CIRCUITOS DIGITAIS,Obrigatória,4,Circuitos Digitais,Obrigatória,6
,SISTEMAS EMBARCADOS,Eletiva,4,Sistemas Embarcados,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVIII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XVIII,Eletiva,4
